league,season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20,2003,7.1,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,13,0
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,18,2005,1.4,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20,2004,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",26,1997,12.7,7,5,2,3,2,3,11,27.3,8,6,0,6,3,10,12,0
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993,26.1,65,38,40,16,9,44,66,66.7,22,23,4,19,25,90,89,1
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,28,1996,8.3,7,5,0,7,0,3,9,33.3,6,7,1,6,2,9,3,0
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,FW,26,1997,4.9,10,7,2,3,5,4,6,66.7,2,2,0,2,1,11,3,0
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26,1997,23.0,56,32,29,21,6,31,43,72.1,12,22,8,14,23,79,70,2
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"FW,MF",22,2002,34.6,43,22,15,15,13,24,47,51.1,23,26,7,19,6,49,20,2
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28,1995,28.9,10,7,0,6,4,3,11,27.3,8,11,3,8,8,18,15,2
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27,1997,22.4,21,15,11,8,2,10,17,58.8,7,16,11,5,10,31,75,2
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34,1990,2.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1
