league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
ENG-Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",30,1993,15.2,1,18,5,27.8,1.19,0.33,0.06,0.2,21.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4
ENG-Premier League,2425,Wolves,Marshall Munetsi,ZIM,"MF,FW",28,1996,12.0,2,22,7,31.8,1.84,0.58,0.09,0.29,15.0,0,0,0,3.3,3.3,0.15,-1.3,-1.3
ENG-Premier League,2425,Wolves,Mateus Mane,,MF,,,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25,1999,28.9,15,110,44,40.0,3.81,1.52,0.14,0.34,20.5,12,0,0,8.6,8.6,0.08,6.4,6.4
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,DF,32,1992,23.4,2,10,3,30.0,0.43,0.13,0.2,0.67,11.4,0,0,0,1.0,1.0,0.1,1.0,1.0
ENG-Premier League,2425,Wolves,Nasser Djiga,BFA,DF,21,2002,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,DF,30,1993,32.1,0,18,7,38.9,0.56,0.22,0.0,0.0,23.9,0,0,0,0.9,0.9,0.05,-0.9,-0.9
ENG-Premier League,2425,Wolves,Pablo Sarabia,ESP,"MF,FW",32,1992,9.0,3,17,8,47.1,1.88,0.88,0.18,0.38,18.9,2,0,0,2.9,2.9,0.17,0.1,0.1
ENG-Premier League,2425,Wolves,Pedro Lima,BRA,DF,18,2006,0.8,0,1,1,100.0,1.29,1.29,0.0,0.0,22.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23,2001,34.5,4,36,10,27.8,1.04,0.29,0.11,0.4,14.9,0,0,0,2.7,2.7,0.08,1.3,1.3
ENG-Premier League,2425,Wolves,Rodrigo Gomes,POR,"DF,FW",21,2003,9.0,2,7,3,42.9,0.78,0.33,0.29,0.67,16.8,0,0,0,0.7,0.7,0.1,1.3,1.3
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31,1993,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Wolves,Santiago Bueno,URU,DF,25,1998,18.7,0,6,3,50.0,0.32,0.16,0.0,0.0,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4
ENG-Premier League,2425,Wolves,Tom King,WAL,GK,29,1995,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Wolves,Tommy Doyle,ENG,MF,22,2001,5.4,0,9,2,22.2,1.66,0.37,0.0,0.0,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25,1999,29.0,0,7,2,28.6,0.24,0.07,0.0,0.0,11.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7
ENG-Premier League,2425,Wolves,Yerson Mosquera,COL,DF,23,2001,4.9,0,2,0,0.0,0.41,0.0,0.0,,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3
