fbref_name,fpl_code
Harry Clarke,232228
Jack Clarke,443261
Jack Taylor,231899
Jacob Greaves,449429
Jens Cajuste,454667
Kalvin Phillips,155405
Leif Davis,455084
Liam Delap,463034
Luke Woolfenden,220583
Marcus Myers-Harness,167191
Massimo Luongo,106606
Nathan Broadhead,173818
Omari Giraud-Hutchinson,503301
Sam Morsy,74944
Sam Szmodics,172453
Wes Burns,149929
Abdul Fatawu,531442
Bilal El Khannouss,513527
Bobby De Cordova-Reid,96994
Boubakary Soumaré,225902
Caleb Okoli,473341
Conor Coady,94147
Danny Ward,95463
Facundo Buonanotte,536916
Hamza Choudhury,197469
Harry Winks,157668
Jake Evans,630664
Jakub Stolarczyk,436680
James Justin,220627
Jamie Vardy,101668
Jannik Vestergaard,93100
Jeremy Monga,649208
Kasey McAteer,461587
Luke Thomas,244619
Mads Hermansen,467189
Michael Golding,549640
Olabade Aluko,619146
Oliver Skipp,209042
Patson Daka,245419
Ricardo Barbosa Pereira,111931
Stephy Mavididi,154048
Victor Kristiansen,481510
Wilfred Ndidi,203341
Will Alves,532534
Wout Faes,218218
Woyo Coulibaly,488439
Alexis Mac Allister,243016
Alisson Ramses Becker,116535
Andrew Robertson,122798
Caoimhin Kelleher,200720
Cody Gakpo,243298
Conor Bradley,492777
Curtis Jones,206915
Darwin Núñez Ribeiro,447203
Dominik Szoboszlai,424876
Federico Chiesa,223541
Harvey Elliott,444884
Ibrahima Konaté,204716
Jarell Quansah,441428
Jayden Danns,500058
Joe Gomez,171287
Konstantinos Tsimikas,214285
Luis Díaz,244731
Mohamed Salah,118748
Ryan Gravenberch,441266
Trent Alexander-Arnold,169187
Virgil van Dijk,97032
Vítezslav Jaros,432987
Endo Wataru,158983
Abdukodir Khusanov,578153
Bernardo Veiga de Carvalho e Silva,165809
Claudio Echeverri,575204
Divin Mubama,487837
Ederson Santana de Moraes,121160
Erling Haaland,223094
Jack Grealish,114283
Jahmai Simpson-Pusey,554194
James McAtee,432714
Jérémy Doku,248875
John Stones,97299
Joško Gvardiol,477424
Kevin De Bruyne,61366
Kyle Walker,58621
Manuel Akanji,211975
Mateo Kovačić,91651
Matheus Luiz Nunes,465351
Nathan Aké,126184
Nico O'Reilly,472769
Nico González,465694
Omar Marmoush,438234
Oscar Bobb,477555
Phil Foden,209244
Rico Lewis,477064
Rúben Gato Alves Dias,171314
Stefan Ortega Moreno,88248
Sávio 'Savinho' Moreira de Oliveira,510281
Vitor de Oliveira Nunes dos Reis,616222
Ilkay Gündogan,59859
Alejandro Garnacho,493105
Altay Bayindir,451302
Amad Diallo,493250
André Onana,202641
Antony Matheus dos Santos,467169
Ayden Heaven,606745
Bruno Borges Fernandes,141746
Chido Obi-Martin,596047
Christian Eriksen,80607
Diogo Dalot Teixeira,216051
Harry Amass,577974
Harry Maguire,95658
Jonny Evans,37642
Joshua Zirkzee,458249
Kobbie Mainoo,516895
Leny Yoro,550864
Lisandro Martínez,221820
Luke Shaw,106760
Manuel Ugarte,232112
Mason Mount,184341
Matthijs de Ligt,209365
Noussair Mazraoui,230001
Patrick Dorgu,596777
Rasmus Højlund,497894
Scott McTominay,195851
Toby Collyer,490881
Tyler Fredricson,547676
Tyrell Malacia,222690
Victor Lindelöf,184667
Alexander Isak,219168
Anthony Gordon,232826
Bruno Guimarães Rodriguez Moura,208706
Callum Wilson,75115
Dan Burn,78916
Emil Krafth,111773
Fabian Schär,119471
Harvey Barnes,201666
Jacob Murphy,114243
Joe Willock,200089
Joelinton Cássio Apolinário de Lira,180974
Kieran Trippier,77794
Lewis Hall,487838
Lewis Miley,547719
Lloyd Kelly,235530
Martin Dúbravka,67089
Matt Targett,169359
Miguel Almirón Rejala,179018
Nick Pope,98747
Sandro Tonali,432422
Sean Longstaff,180135
Sven Botman,220237
Tino Livramento,441191
William Osula,538207
Anthony Elanga,449434
Callum Hudson-Odoi,209046
Chris Wood,60689
Danilo dos Santos de Oliveira,513046
Elliot Anderson,215379
Eric da Silva Moreira,569014
Harry Toffolo,114241
Ibrahim Sangaré,210462
James Ward-Prowse,101178
Matz Sels,85633
Morgan Gibbs-White,222531
Murillo Santiago Costa dos Santos,575476
Neco Williams,215136
Nicolás Domínguez,250199
Nikola Milenković,227444
Ola Aina,159506
Ramón Sosa,502222
Ryan Yates,204968
Taiwo Awoniyi,210156
Willy Boly,90585
Álex Moreno Lopera,106468
Aaron Ramsdale,225321
Adam Armstrong,155511
Adam Lallana,39155
Albert Grønbæk,494779
Alex McCarthy,58376
Armel Bella-Kotchap,477386
Ben Brereton Díaz,204814
Cameron Archer,433979
Charlie Taylor,103914
Flynn Downes,220585
Jack Stephens,88900
James Bree,184386
Jan Bednarek,171771
Jay Robinson,495024
Joachim Kayi-Sanda,620408
Joe Aribo,193204
Joe Lumley,167888
Kamaldeen Sulemana,504783
Kyle Walker-Peters,158534
Lesley Ugochukwu,503714
Mateus Gonçalo Espanha Fernandes,551226
Maxwel Cornet,149519
Nathan Wood-Gordon,244845
Paul Onuachu,147611
Ronnie Edwards,500926
Ross Stewart,230348
Ryan Fraser,90105
Ryan Manning,204863
Samuel Amo-Ameyaw,499724
Samuel Edozie,490503
Taylor Harwood-Bellis,245719
Tyler Dibling,496661
Welington Damascena Santos,500016
Will Smallbone,214466
Sugawara Yukinari,219279
Alfie Dorrington,519321
Antonín Kinsky,485055
Archie Gray,547701
Ben Davies,115556
Brandon Austin,214572
Brennan Johnson,242898
Cristian Romero,221632
Dane Scarlett,490145
Dejan Kulusevski,445044
Destiny Udogie,487053
Djed Spence,232859
Fraser Forster,40383
Guglielmo Vicario,184254
James Maddison,172780
Kevin Danso,135720
Lucas Bergvall,570526
Mathys Tel,511499
Micky van de Ven,491279
Mikey Moore,499721
Pape Matar Sarr,482442
Pedro Porro,441164
Radu Drăgușin,493125
Richarlison de Andrade,212319
Rodrigo Bentancur,202993
Sergio Reguilón,199249
Son Heung-min,85971
Timo Werner,165153
Will Lankshear,552427
Wilson Odobert,550839
Yves Bissouma,227127
Aaron Cresswell,55459
Aaron Wan-Bissaka,214590
Alphonse Areola,84182
Andy Irving,229384
Carlos Soler,224860
Crysencio Summerville,450070
Danny Ings,84939
Edson Álvarez Velázquez,213999
Emerson Palmieri dos Santos,109533
Guido Rodríguez,197024
Jarrod Bowen,178186
Jean-Clair Todibo,462116
Kaelan Casey,518438
Konstantinos Mavropanos,233963
Lewis Orford,518442
