league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,expected_npxg/sh,expected_g-xg,expected_np:g-xg
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23.0,2001.0,30,27,2417,26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,94,22,20,52.4,1395,1188,204,22,2,1,28,182,0,1661,51,304,859,505,66,1661,53,24,45.3,24,45.3,890,3916,2076,27,11,33,24,1052,0.09,-0.2,-0.2
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25.0,1999.0,23,21,1875,20.8,9,3,12,9,0,0,5,0,9.5,9.5,2.4,12.0,35,61,113,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57,41,63,78,44.7,519,511,6,1,1,0,11,5,0,785,31,92,287,411,107,785,38,9,23.7,24,63.2,418,2012,954,23,18,44,23,584,0.18,-0.5,-0.5
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27.0,1997.0,13,2,259,2.9,1,0,1,1,0,0,0,0,0.4,0.4,1.4,1.7,8,15,29,0.35,0.0,0.35,0.35,0.35,0.12,0.48,0.6,0.12,0.6,6,5,5,50.0,173,155,18,4,1,0,14,14,0,199,8,36,72,91,6,199,4,2,50.0,1,25.0,108,447,253,6,1,3,0,143,0.18,0.6,0.6
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29.0,1994.0,38,28,2546,28.3,8,7,15,8,0,0,4,1,7.2,7.2,6.1,13.3,80,101,226,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47,104,6,24,20.0,954,917,29,5,7,5,86,7,10,1278,17,135,399,762,158,1278,86,38,44.2,37,43.0,828,5024,2218,55,30,66,52,956,0.1,0.8,0.8
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25.0,1998.0,30,26,2325,25.8,3,8,11,2,1,1,4,0,4.8,4.0,5.4,9.5,92,258,154,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37,97,8,7,53.3,1499,1373,114,35,25,3,86,12,37,1694,9,126,708,875,115,1693,59,25,42.4,32,54.2,1174,7444,3772,85,26,38,40,1336,0.08,-1.8,-2.0
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28.0,1996.0,28,17,1586,17.6,7,2,9,7,0,0,4,1,5.9,5.9,2.0,7.9,11,69,94,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45,86,59,55,51.8,577,567,5,4,5,1,13,1,0,783,37,140,330,323,79,783,23,9,39.1,10,43.5,388,1518,747,13,4,24,27,504,0.16,1.1,1.1
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17.0,2006.0,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.2,0.2,0.4,0.6,37,71,37,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,53,11,10,52.4,776,660,111,17,3,2,10,94,0,905,28,178,476,265,17,905,28,12,42.9,9,32.1,526,2692,1663,26,7,13,9,616,0.05,0.8,0.8
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21.0,2003.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0.07,-0.1,-0.1
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27.0,1996.0,15,5,527,5.9,0,1,1,0,0,0,1,0,0.6,0.6,0.2,0.8,10,48,14,0.0,0.17,0.17,0.0,0.17,0.11,0.03,0.14,0.11,0.14,19,12,11,52.2,451,399,49,14,2,3,13,33,1,499,16,86,233,181,20,499,5,3,60.0,1,20.0,281,1348,573,8,3,3,4,348,0.07,-0.6,-0.6
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",29.0,1994.0,17,7,499,5.5,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,27,18,79,0.0,0.36,0.36,0.0,0.36,0.26,0.09,0.34,0.26,0.34,16,1,3,25.0,201,197,2,0,0,1,16,1,1,274,2,10,58,209,38,274,30,10,33.3,10,33.3,201,1407,750,11,15,13,14,211,0.13,-1.4,-1.4
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,24.0,1999.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,,0,,1,4,4,0,0,0,0,1,,0.0,0.0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22.0,2002.0,19,11,983,10.9,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,22,54,29,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11,35,22,14,61.1,549,483,65,7,0,2,11,58,0,653,30,164,264,229,30,653,13,9,69.2,3,23.1,308,1655,889,15,3,12,5,394,0.09,1.1,1.1
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,25.0,1998.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,0,0,0,,4,4,0,0,0,0,0,0,0,7,1,4,1,2,1,7,0,0,,0,,1,7,5,0,0,0,0,2,0.18,-0.2,-0.2
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31.0,1993.0,35,31,2797,31.1,4,2,6,4,0,0,4,0,2.3,2.3,2.1,4.3,36,185,48,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,138,28,27,50.9,1920,1819,95,27,6,4,12,62,0,2193,74,457,1214,534,33,2193,35,24,68.6,9,25.7,1256,6822,3691,42,3,24,17,1561,0.09,1.7,1.7
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23.0,2001.0,35,35,3039,33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,154,61,36,62.9,2559,2508,46,36,1,10,3,4,0,2824,190,1127,1571,142,18,2824,19,12,63.2,6,31.6,1756,7626,4154,17,1,19,8,2137,0.38,-0.3,-0.3
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,22.0,2001.0,26,20,1617,18.0,3,0,3,3,0,0,4,0,2.1,2.1,0.7,2.8,29,75,16,0.17,0.0,0.17,0.17,0.17,0.12,0.04,0.16,0.12,0.16,72,32,21,60.4,802,796,5,4,3,0,2,0,0,998,71,269,586,159,23,998,20,14,70.0,3,15.0,553,2931,1577,25,1,11,9,671,0.12,0.9,0.9
ENG-Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",21.0,2003.0,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,15,0,6,0.0,201,176,25,0,0,0,18,25,0,256,8,38,108,112,2,256,18,5,27.8,12,66.7,159,1262,673,13,2,10,6,168,0.02,0.0,0.0
ENG-Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,26.0,1998.0,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,15,8,6,57.1,280,258,20,9,1,0,1,11,0,334,32,130,178,29,6,334,15,9,60.0,6,40.0,207,1268,621,8,2,3,2,223,0.04,-0.1,-0.1
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,24.0,1999.0,26,20,1726,19.2,1,0,1,1,0,0,2,0,0.8,0.8,0.9,1.7,19,85,7,0.05,0.0,0.05,0.05,0.05,0.04,0.05,0.09,0.04,0.09,87,21,26,44.7,931,904,27,25,5,0,1,0,0,1113,95,344,637,141,12,1113,27,9,33.3,9,33.3,591,2976,1370,13,2,12,17,754,0.08,0.2,0.2
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31.0,1993.0,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,36,11,10,52.4,603,575,25,17,0,6,0,0,0,674,86,331,330,15,6,674,2,2,100.0,0,0.0,419,2133,1162,3,0,1,2,481,0.16,-0.6,-0.6
ENG-Premier League,2425,Aston Villa,Donyell Malen,NED,FW,25.0,1999.0,14,2,305,3.4,3,0,3,3,0,0,0,0,2.2,2.2,0.2,2.4,12,6,30,0.89,0.0,0.89,0.89,0.89,0.64,0.05,0.69,0.64,0.69,9,4,4,50.0,77,71,5,0,0,2,8,1,0,129,2,9,33,94,25,129,11,4,36.4,5,45.5,79,652,370,7,7,8,7,87,0.14,0.8,0.8
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27.0,1996.0,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62,8,0,2,0.0,60,59,1,1,1,0,0,0,0,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,5,0,4,3,64,0.13,-0.7,-0.7
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31.0,1992.0,37,37,3194,35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.5,0.5,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,34,10,1,90.9,1387,1117,263,91,0,2,0,0,0,1449,1095,1429,20,0,0,1449,1,1,100.0,0,0.0,889,4616,2936,0,0,1,0,784,,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,26.0,1997.0,34,33,2936,32.6,2,0,2,2,0,0,1,0,1.3,1.3,0.4,1.7,24,90,11,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,97,31,23,57.4,1673,1538,134,84,6,0,5,34,0,1915,250,883,934,107,22,1915,18,8,44.4,7,38.9,1132,5817,3008,15,2,17,10,1338,0.12,0.7,0.7
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22.0,2002.0,29,10,1139,12.7,1,2,3,1,0,0,2,0,0.9,0.9,2.7,3.6,31,50,104,0.08,0.16,0.24,0.08,0.24,0.07,0.22,0.28,0.07,0.28,67,10,6,62.5,747,646,101,16,1,2,51,80,5,917,56,247,334,348,47,917,29,13,44.8,16,55.2,505,2636,1184,17,13,22,25,564,0.05,0.1,0.1
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23.0,2001.0,29,19,1623,18.0,1,3,4,1,0,0,4,1,1.6,1.6,2.3,3.9,61,68,114,0.06,0.17,0.22,0.06,0.22,0.09,0.13,0.22,0.09,0.22,83,7,13,35.0,586,581,2,0,3,3,12,2,0,762,12,146,272,359,74,762,46,25,54.3,13,28.3,496,3441,1766,31,21,42,23,577,0.08,-0.6,-0.6
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22.0,2002.0,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2,21,0,5,0.0,86,85,1,0,1,0,4,1,0,145,4,27,54,66,14,145,15,4,26.7,8,53.3,75,520,239,5,7,7,3,83,0.07,-0.5,-0.5
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,"MF,FW",29.0,1994.0,34,27,2223,24.7,1,4,5,1,0,0,7,0,3.1,2.8,3.5,6.3,32,103,87,0.04,0.16,0.2,0.04,0.2,0.13,0.14,0.27,0.11,0.26,100,17,12,58.6,854,792,61,27,9,2,60,4,22,1072,31,164,558,361,58,1072,47,20,42.6,13,27.7,581,2930,1270,17,7,37,29,744,0.09,-2.1,-1.8
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20.0,2003.0,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,19,19,19,50.0,163,155,7,0,2,0,3,0,0,263,13,36,110,122,47,263,14,3,21.4,9,64.3,133,535,267,7,2,16,15,192,0.16,2.1,2.1
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,18.0,2005.0,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.0,53,41,12,1,0,0,1,11,0,66,4,15,32,19,0,66,2,1,50.0,1,50.0,27,101,33,0,0,1,0,32,,0.0,0.0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20.0,2004.0,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,13,6,6,50.0,272,239,31,14,0,0,0,17,0,325,16,95,191,40,4,325,4,2,50.0,1,25.0,173,1031,599,6,1,6,8,212,0.04,0.0,0.0
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",26.0,1997.0,24,14,1139,12.7,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,58,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,59,6,9,40.0,390,369,18,0,5,1,34,1,17,545,18,77,155,323,70,545,57,22,38.6,24,42.1,348,2582,1371,23,34,35,25,390,0.06,-0.7,-0.7
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31.0,1993.0,32,28,2351,26.1,0,4,4,0,0,0,4,0,0.8,0.8,4.7,5.5,23,57,142,0.0,0.15,0.15,0.0,0.15,0.03,0.18,0.21,0.03,0.21,104,37,28,56.9,1277,1017,258,44,2,4,140,155,57,1527,97,541,457,539,28,1527,19,9,47.4,9,47.4,683,2983,1346,14,4,17,16,820,0.06,-0.8,-0.8
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,28.0,1996.0,13,9,743,8.3,3,1,4,3,0,2,2,0,4.4,2.9,1.0,3.8,22,45,38,0.36,0.12,0.48,0.36,0.48,0.54,0.12,0.66,0.35,0.47,28,0,1,0.0,313,271,39,14,2,1,38,0,23,386,6,38,158,200,30,384,19,12,63.2,5,26.3,242,1466,682,21,5,9,8,265,0.13,-1.4,0.1
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,FW,26.0,1997.0,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.41,0.41,0.81,0.2,0.61,0.62,0.46,1.08,0.46,0.92,14,1,8,11.1,164,134,29,5,3,1,28,1,21,227,2,14,58,159,30,226,22,9,40.9,13,59.1,127,892,471,10,15,8,1,149,0.13,-1.1,-1.3
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26.0,1997.0,27,24,2070,23.0,1,1,2,1,0,0,7,0,0.5,0.5,1.1,1.6,48,42,90,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07,81,20,20,50.0,945,781,162,23,0,1,40,139,0,1186,90,432,463,304,42,1186,40,19,47.5,16,40.0,595,3700,1864,38,4,20,10,654,0.04,0.5,0.5
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"FW,MF",22.0,2002.0,37,37,3114,34.6,8,10,18,8,0,0,10,0,6.6,6.6,7.8,14.4,114,123,188,0.23,0.29,0.52,0.23,0.52,0.19,0.23,0.42,0.19,0.42,119,13,52,20.0,907,853,47,2,22,6,27,9,0,1362,43,200,592,597,142,1362,160,66,41.3,74,46.3,794,5594,3232,68,33,114,74,956,0.12,1.4,1.4
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28.0,1995.0,38,31,2598,28.9,16,8,24,14,2,2,2,0,15.3,13.8,3.3,17.1,55,31,165,0.55,0.28,0.83,0.48,0.76,0.53,0.12,0.65,0.48,0.59,43,52,71,42.3,424,415,6,0,1,1,7,0,0,695,18,50,248,407,168,693,41,10,24.4,27,65.9,409,2243,1125,21,38,60,50,552,0.17,0.7,0.2
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27.0,1997.0,24,23,2020,22.4,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,40,97,8,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,62,18,29,38.3,1369,1248,117,67,4,12,3,3,0,1518,237,701,726,97,17,1518,17,15,88.2,2,11.8,965,6359,4176,27,0,6,5,1090,0.06,-0.5,-0.5
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34.0,1990.0,4,1,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,,101,65,36,10,0,0,0,0,0,110,94,109,1,0,0,110,0,0,,0,,50,270,132,0,0,0,0,46,,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,30.0,1993.0,20,3,581,6.5,3,1,4,3,0,0,3,0,1.8,1.8,0.6,2.4,15,36,10,0.46,0.15,0.62,0.46,0.62,0.27,0.1,0.37,0.27,0.37,43,6,4,60.0,395,381,13,11,0,3,1,1,0,464,17,75,275,121,19,464,16,12,75.0,4,25.0,277,1560,733,15,2,7,8,328,0.11,1.2,1.2
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31.0,1993.0,14,12,1120,12.4,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,7,40,1,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08,38,27,22,55.1,676,630,46,20,0,3,1,0,0,794,146,405,346,47,17,794,3,2,66.7,1,33.3,484,2662,1365,13,1,3,1,532,0.09,-0.8,-0.8
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27.0,1997.0,36,35,3026,33.6,3,7,10,3,0,1,4,0,3.3,2.5,7.0,9.5,39,235,48,0.09,0.21,0.3,0.09,0.3,0.1,0.21,0.31,0.07,0.28,145,22,18,55.0,2061,1847,207,98,24,8,119,2,85,2385,103,479,1366,565,45,2384,61,31,50.8,19,31.1,1288,5561,2551,26,9,31,29,1667,0.06,-0.3,0.5
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33.0,1991.0,25,19,1590,17.7,0,0,0,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,50,14,15,48.3,679,550,128,9,1,2,33,119,0,825,41,240,394,197,8,825,16,6,37.5,7,43.8,366,1552,711,18,1,13,7,403,0.22,-0.7,-0.7
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,20.0,2003.0,20,8,755,8.4,0,0,0,0,0,0,3,0,0.7,0.7,0.9,1.6,15,52,33,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.19,0.09,0.19,52,7,7,50.0,342,317,23,10,2,4,7,1,5,485,24,90,257,144,18,485,26,6,23.1,13,50.0,247,1401,663,10,3,23,8,294,0.05,-0.7,-0.7
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,24.0,2000.0,37,36,3203,35.6,11,5,16,11,0,0,9,0,10.0,10.0,5.8,15.8,140,109,282,0.31,0.14,0.45,0.31,0.45,0.28,0.16,0.44,0.28,0.44,158,66,76,46.5,1119,1049,60,4,9,6,59,53,3,1653,46,206,573,909,191,1653,135,69,51.1,57,42.2,979,7353,3581,69,67,84,77,1140,0.08,1.0,1.0
ENG-Premier League,2425,Bournemouth,Ben Winterburn,ENG,"MF,FW",19.0,2004.0,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,100.0,7,7,0,0,0,0,0,0,0,9,0,2,5,2,1,9,0,0,,0,,6,50,40,0,1,0,0,6,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,FW,22.0,2002.0,32,21,2005,22.3,7,4,11,7,0,0,3,0,8.4,8.4,5.5,13.8,79,43,191,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62,92,45,63,41.7,612,579,30,0,5,5,88,26,3,959,62,165,316,497,128,959,82,39,47.6,34,41.5,492,3577,1777,35,38,63,32,577,0.14,-1.4,-1.4
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,CAN,FW,20.0,2003.0,16,0,119,1.3,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,4,3,16,0.76,0.0,0.76,0.76,0.76,0.75,0.15,0.9,0.75,0.9,10,2,10,16.7,42,42,0,0,0,0,3,0,0,78,3,10,25,44,14,78,7,4,57.1,3,42.9,44,277,95,2,5,13,5,47,0.2,0.0,0.0
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27.0,1997.0,29,9,960,10.7,2,0,2,2,0,0,3,0,2.5,2.5,1.9,4.4,35,35,83,0.19,0.0,0.19,0.19,0.19,0.24,0.18,0.41,0.24,0.41,50,7,10,41.2,411,366,44,14,3,0,52,10,17,545,15,59,207,289,39,545,34,11,32.4,20,58.8,342,2344,1115,25,10,30,14,375,0.1,-0.5,-0.5
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19.0,2005.0,32,26,2427,27.0,3,2,5,3,0,0,10,0,1.9,1.9,2.0,3.9,41,132,10,0.11,0.07,0.19,0.11,0.19,0.07,0.08,0.14,0.07,0.14,105,68,44,60.7,1625,1566,53,32,2,15,12,6,0,2021,254,915,971,145,30,2021,5,2,40.0,3,60.0,1118,7072,4349,31,0,20,1,1271,0.1,1.1,1.1
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27.0,1997.0,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82,16,24,22,52.2,99,96,2,1,1,1,4,0,0,172,6,14,63,95,26,172,12,1,8.3,10,83.3,91,261,95,3,1,17,13,133,0.14,-0.7,-0.7
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,24.0,1999.0,31,28,2319,25.8,10,1,11,10,0,1,1,1,12.5,11.7,1.9,13.6,29,28,99,0.39,0.04,0.43,0.39,0.43,0.48,0.07,0.56,0.45,0.53,67,42,62,40.4,342,337,4,1,4,4,0,0,0,558,23,56,208,299,127,557,21,7,33.3,8,38.1,333,1822,861,18,15,38,24,400,0.16,-2.5,-1.7
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,21.0,2002.0,36,35,3109,34.5,0,1,1,0,0,0,4,1,1.3,1.3,0.7,2.0,27,140,4,0.0,0.03,0.03,0.0,0.03,0.04,0.02,0.06,0.04,0.06,157,77,44,63.6,1710,1677,31,27,6,7,6,1,0,2062,234,929,1078,77,16,2062,9,6,66.7,2,22.2,1282,8351,4948,21,0,14,3,1306,0.11,-1.3,-1.3
ENG-Premier League,2425,Bournemouth,James Hill,ENG,DF,22.0,2002.0,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,3,16,8,0.0,0.2,0.2,0.0,0.2,0.06,0.05,0.11,0.06,0.11,13,14,12,53.8,245,212,33,3,0,0,10,30,0,319,19,99,167,54,8,319,2,1,50.0,1,50.0,146,552,295,6,0,2,0,179,0.05,-0.3,-0.3
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,22.0,2001.0,12,7,497,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,14,22,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,29,3,9,25.0,225,198,27,2,0,0,9,25,0,275,20,90,136,55,2,275,1,0,0.0,1,100.0,126,482,258,3,0,5,2,149,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Julio Soler,ARG,"DF,FW",19.0,2005.0,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,14,14,0,0,0,0,1,0,0,17,0,3,6,8,0,17,0,0,,0,,12,30,8,0,0,1,0,14,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,MF,25.0,1999.0,34,29,2340,26.0,12,6,18,6,6,6,8,0,10.3,5.6,4.8,10.5,81,105,173,0.46,0.23,0.69,0.23,0.46,0.4,0.19,0.58,0.22,0.4,78,8,28,22.2,782,683,92,8,5,6,85,10,35,1086,24,99,366,641,134,1080,87,36,41.4,40,46.0,646,4198,2364,55,38,55,27,710,0.1,1.7,0.4
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29.0,1994.0,31,31,2790,31.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,7,1,87.5,1027,728,295,103,0,0,0,0,0,1087,800,1057,29,1,1,1087,1,1,100.0,0,0.0,621,3129,1797,0,0,0,0,486,0.06,-0.1,-0.1
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27.0,1997.0,36,32,2978,33.1,1,3,4,1,0,0,8,1,0.9,0.9,4.1,5.1,33,158,52,0.03,0.09,0.12,0.03,0.12,0.03,0.12,0.15,0.03,0.15,187,41,34,54.7,1585,1358,225,71,3,2,132,73,77,1900,87,440,1010,470,20,1900,20,13,65.0,7,35.0,825,4125,2159,29,4,31,18,965,0.07,0.1,0.1
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25.0,1999.0,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.0,0.46,1.0,17,3,7,30.0,93,92,0,0,0,1,7,0,0,155,7,18,41,96,23,155,20,8,40.0,10,50.0,95,744,393,6,10,6,3,102,0.09,-0.2,-0.2
